District,County,Route,Road_Name,Begin_MP,End_MP,Comments,Reported_On,End_Date,Route_Link
1,Ballard,KY-1345,MYERS RD,2.0,2.0,KY 1345/Myers Road Blocked at 2mm in Ballard County Due to Cross Drain Failure,2021-07-28 00:05:00,2021-07-28 04:14:01+00:00,"https://kytc.maps.arcgis.com/apps/webappviewer/index.html?id=327a38decc8c4e5cb882dc6cd0f9d45d&zoom=14&center=-88.979133,37.005148"
1,Ballard,KY-1345,MYERS RD,2.0,2.0,KY 1345/Myers Road Blocked both directions at 2mm in Ballard County Due to Cross Drain Failure,2021-07-28 00:05:00,2021-07-28 16:04:01+00:00,"https://kytc.maps.arcgis.com/apps/webappviewer/index.html?id=327a38decc8c4e5cb882dc6cd0f9d45d&zoom=14&center=-88.979133,37.005148"
1,Calloway,KY-1536,OUTLAND SCHOOL RD,1.0,1.0,Blocked just north of the intersection with Clayton Rd/A B Lassiter Rd.,2021-12-06 13:00:00,2021-12-07 16:58:01+00:00,"https://kytc.maps.arcgis.com/apps/webappviewer/index.html?id=327a38decc8c4e5cb882dc6cd0f9d45d&zoom=14&center=-88.255129,36.609757"
1,Calloway,KY-280,SPEAKER TRL,11.0,11.0,All lanes blocked in both directions due to break in pavement,2021-08-21 07:00:00,2021-08-26 20:58:02+00:00,"https://kytc.maps.arcgis.com/apps/webappviewer/index.html?id=327a38decc8c4e5cb882dc6cd0f9d45d&zoom=14&center=-88.171714,36.569677"
1,Calloway,KY-280,SPEAKER TRL,11.0,11.0,ALL LANES BLOCKED IN BOTH DIRECTIONS,2021-08-21 07:00:00,2021-08-21 18:06:01+00:00,"https://kytc.maps.arcgis.com/apps/webappviewer/index.html?id=327a38decc8c4e5cb882dc6cd0f9d45d&zoom=14&center=-88.171714,36.569677"
1,Calloway,KY-464,ALMO RD,12.7,13.7,Road closed due to flooding. Updates as available.,2021-03-01 14:29:00,2021-03-03 13:20:01+00:00,"https://kytc.maps.arcgis.com/apps/webappviewer/index.html?id=327a38decc8c4e5cb882dc6cd0f9d45d&zoom=14&center=-88.273738,36.69177"
1,Calloway,KY-893,CHEROKEE TRL,8.0,8.0,Blocked just north of KY 550 (Wiswell Rd).,2021-12-06 13:00:00,2021-12-07 16:58:01+00:00,"https://kytc.maps.arcgis.com/apps/webappviewer/index.html?id=327a38decc8c4e5cb882dc6cd0f9d45d&zoom=14&center=-88.42906,36.571804"
1,Calloway,US-641,U S HIGHWAY 641 N,10.6,10.6,Road closed due to flooding. Updates as available.,2021-03-01 10:16:00,2021-03-02 21:58:01+00:00,"https://kytc.maps.arcgis.com/apps/webappviewer/index.html?id=327a38decc8c4e5cb882dc6cd0f9d45d&zoom=14&center=-88.30691,36.651783"
1,Calloway,US-641,U S HIGHWAY 641 N NC,10.6,10.6,Road closed due to flooding. Updates as available.,2021-03-01 10:17:00,2021-03-03 13:28:01+00:00,"https://kytc.maps.arcgis.com/apps/webappviewer/index.html?id=327a38decc8c4e5cb882dc6cd0f9d45d&zoom=14&center=-88.307124,36.651801"
1,Carlisle,KY-1628,KY-1628,1.0,3.0,Blocked due to flooding in the area.,2021-05-04 08:52:00,2021-05-05 02:30:01+00:00,"https://kytc.maps.arcgis.com/apps/webappviewer/index.html?id=327a38decc8c4e5cb882dc6cd0f9d45d&zoom=14&center=-88.898473,36.922194"
1,Carlisle,KY-1628,KY-1628,3.0,3.0,Road closed due to flooding. Updates as available.,2021-04-29 15:23:00,2021-04-30 20:04:01+00:00,"https://kytc.maps.arcgis.com/apps/webappviewer/index.html?id=327a38decc8c4e5cb882dc6cd0f9d45d&zoom=14&center=-88.882198,36.921971"
1,Carlisle,KY-1820,KY-1820,1.0,3.0,Road closed due to flooding. Updates as available.,2021-04-29 11:33:00,2021-04-30 20:04:01+00:00,"https://kytc.maps.arcgis.com/apps/webappviewer/index.html?id=327a38decc8c4e5cb882dc6cd0f9d45d&zoom=14&center=-88.88507,36.935156"
1,Carlisle,KY-1820,KY-1820,3.0,3.0,Blocked due to flooding in the area.,2021-05-04 08:52:00,2021-05-06 13:24:01+00:00,"https://kytc.maps.arcgis.com/apps/webappviewer/index.html?id=327a38decc8c4e5cb882dc6cd0f9d45d&zoom=14&center=-88.870791,36.939579"
1,Carlisle,KY-1820,SR 1820,1.0,3.0,Road closed due to flooding.,2021-01-25 14:31:00,2021-01-26 14:02:01+00:00,"https://kytc.maps.arcgis.com/apps/webappviewer/index.html?id=327a38decc8c4e5cb882dc6cd0f9d45d&zoom=14&center=-88.88507,36.935156"
