District,County,Route,Road_Name,count
7,Fayette,KY-2328,OLD RICHMOND RD,8
7,Scott,KY-32,JOSEPHINE RD,7
7,Montgomery,KY-646,KIDDVILLE RD,7
2,Henderson,KY-136,KY-136 WEST,7
1,Marshall,KY-1462,BENTON-BIRMINGHAM RD,7
1,Hickman,KY-123,STATE ROUTE 123 W,7
11,Knox,KY-459,KY-459,7
4,Hart,KY-218,LEGRANDE HWY,6
11,Knox,KY-229,KY 229,6
11,Knox,KY-223,KY 223,6
2,Henderson,KY-268,KY-268,6
1,Carlisle,KY-1820,SR 1820,6
11,Knox,KY-11,N KY 11,6
10,Lee,KY-52,KENTUCKY HIGHWAY 52,6
2,Daviess,KY-298,HILL BRIDGE RD,6
3,Warren,KY-1435,BARREN RIVER RD,5
10,Powell,KY-2026,POMPEII RD,5
12,Floyd,KY-194,036 KY-194,5
2,Henderson,I-69,I-69 NC,5
7,Madison,KY-169,TATES CREEK RD,5
10,Estill,KY-1571,MILLERS CREEK RD,5
12,Johnson,KY-581,KY-581,5
1,Hickman,US-51,U S HIGHWAY 51 S,5
12,Pike,KY-194,KY 194,5
7,Clark,KY-1924,FORD RD,5
9,Carter,KY-1,KY-1,5
3,Barren,KY-3179,OIL WELL RD,4
12,Floyd,KY-1427,036 KY-1427,4
11,Knox,KY-3440,KY 3440,4
1,McCracken,KY-1255,BONDS RD,4
11,Whitley,KY-779,HIGHWAY 779,4
11,Whitley,KY-2996,WOLF CREEK RIVER RD,4
2,Henderson,KY-812,AIRLINE RD,4
2,Hancock,KY-334,KY-334,4
11,Knox,KY-1487,MANCHESTER ST,4
2,Henderson,KY-1557,HOUSEBRIDGE RD,4
11,Clay,KY-638,KY-638,4
1,Hickman,KY-780,STATE ROUTE 780,4
12,Johnson,KY-1107,KY-1107,4
9,Greenup,KY-1,E K RD,4
5,Franklin,KY-420,OLD LAWRENCEBURG RD,4
9,Greenup,US-23,US-23 NC,4
7,Madison,KY-499,CROOKSVILLE RD,4
12,Knott,KY-160,SOUTH HIGHWAY 160,4
7,Jessamine,KY-169,KEENE RD,3
3,Warren,US-68,GLASGOW RD,3
7,Scott,KY-608,FROGTOWN RD,3
2,Henderson,KY-3522,KY-3522,3
7,Madison,KY-388,BOONESBORO RD,3
4,Hart,KY-218,CHARLIE MORAN HWY,3
10,Breathitt,KY-1098,KY-1098,3
2,Henderson,KY-2247,POSEY BALL RD,3
2,Henderson,US-41,US-41 NORTH,3
7,Fayette,US-421,LEESTOWN RD,3
4,Hart,KY-570,REX RD,3
11,Bell,KY-221,HIGHWAY 221,3
4,Hart,KY-677,THREE SPRINGS HWY,3
5,Henry,KY-389,RIVER RD,3
8,McCreary,KY-1363,YAMACRAW - BELL FARM RD,3
3,Metcalfe,KY-70,SULPHUR WELL KNOB LICK RD,3
10,Wolfe,KY-715,KY 715,3
9,Rowan,KY-801,KY HIGHWAY 801 S,3
10,Owsley,KY-3347,SHEPHERD RD,3
3,Logan,KY-107,DEER LICK RD,3
10,Owsley,KY-2024,KY-2024,3
9,Boyd,KY-5,KY 5,3
9,Boyd,KY-854,ST ROUTE 854,3
10,Menifee,KY-715,RED RIVER RD,3
10,Magoffin,US-460,US-460,3
9,Greenup,KY-7,KY-7,3
9,Greenup,US-23,US-23,3
2,Union,KY-667,KY-667,3
10,Estill,KY-3328,RED LICK RD,3
2,Webster,KY-270,KY-270,3
3,Barren,US-68,GLASGOW RD,3
12,Pike,US-460,US 460,3
10,Perry,KY-1087,BALLS FORK RD,3
12,Martin,KY-292,WARFIELD,3
1,McCracken,KY-994,OLD MAYFIELD RD,3
1,Hickman,KY-123,KY-123 W,3
12,Pike,KY-2061,COWPEN RD,3
11,Whitley,KY-26,HIGHWAY 26,3
12,Martin,KY-292,KY-292,3
12,Johnson,KY-40,KY-40,3
11,Leslie,KY-257,DRYHILL RD,3
12,Pike,KY-122,KY 122,3
12,Knott,KY-550,EAST HIGHWAY 550,3
