District,County,Route,Road_Name,Begin_MP,End_MP,Comments,Reported_On,End_Date,longitude,latitude,Duration_Default,Duration_Hours
1,Ballard,KY-1345,MYERS RD,2.0,2.0,KY 1345/Myers Road Blocked at 2mm in Ballard County Due to Cross Drain Failure,2021-07-28 00:05:00,2021-07-28 04:14:01,-88.979133,37.005148,0 days 04:09:01,4.1503
1,Ballard,KY-1345,MYERS RD,2.0,2.0,KY 1345/Myers Road Blocked both directions at 2mm in Ballard County Due to Cross Drain Failure,2021-07-28 00:05:00,2021-07-28 16:04:01,-88.979133,37.005148,0 days 15:59:01,15.9836
1,Calloway,KY-1536,OUTLAND SCHOOL RD,1.0,1.0,Blocked just north of the intersection with Clayton Rd/A B Lassiter Rd.,2021-12-06 13:00:00,2021-12-07 16:58:01,-88.255129,36.609757,1 days 03:58:01,27.9669
1,Calloway,KY-280,SPEAKER TRL,11.0,11.0,All lanes blocked in both directions due to break in pavement,2021-08-21 07:00:00,2021-08-26 20:58:02,-88.171714,36.569677,5 days 13:58:02,133.9672
1,Calloway,KY-280,SPEAKER TRL,11.0,11.0,ALL LANES BLOCKED IN BOTH DIRECTIONS,2021-08-21 07:00:00,2021-08-21 18:06:01,-88.171714,36.569677,0 days 11:06:01,11.1003
1,Calloway,KY-464,ALMO RD,12.7,13.7,Road closed due to flooding. Updates as available.,2021-03-01 14:29:00,2021-03-03 13:20:01,-88.273738,36.69177,1 days 22:51:01,46.8503
1,Calloway,KY-893,CHEROKEE TRL,8.0,8.0,Blocked just north of KY 550 (Wiswell Rd).,2021-12-06 13:00:00,2021-12-07 16:58:01,-88.42906,36.571804,1 days 03:58:01,27.9669
1,Calloway,US-641,U S HIGHWAY 641 N,10.6,10.6,Road closed due to flooding. Updates as available.,2021-03-01 10:16:00,2021-03-02 21:58:01,-88.30691,36.651783,1 days 11:42:01,35.7003
1,Calloway,US-641,U S HIGHWAY 641 N NC,10.6,10.6,Road closed due to flooding. Updates as available.,2021-03-01 10:17:00,2021-03-03 13:28:01,-88.307124,36.651801,2 days 03:11:01,51.1836
1,Carlisle,KY-1628,KY-1628,1.0,3.0,Blocked due to flooding in the area.,2021-05-04 08:52:00,2021-05-05 02:30:01,-88.898473,36.922194,0 days 17:38:01,17.6336
1,Carlisle,KY-1628,KY-1628,3.0,3.0,Road closed due to flooding. Updates as available.,2021-04-29 15:23:00,2021-04-30 20:04:01,-88.882198,36.921971,1 days 04:41:01,28.6836
1,Carlisle,KY-1820,KY-1820,1.0,3.0,Road closed due to flooding. Updates as available.,2021-04-29 11:33:00,2021-04-30 20:04:01,-88.88507,36.935156,1 days 08:31:01,32.5169
1,Carlisle,KY-1820,KY-1820,3.0,3.0,Blocked due to flooding in the area.,2021-05-04 08:52:00,2021-05-06 13:24:01,-88.870791,36.939579,2 days 04:32:01,52.5336
1,Carlisle,KY-1820,SR 1820,1.0,3.0,Road closed due to flooding.,2021-01-25 14:31:00,2021-01-26 14:02:01,-88.88507,36.935156,0 days 23:31:01,23.5169
1,Carlisle,KY-1820,SR 1820,1.0,6.5,Road closed due to flooding. Updates as available.,2021-03-01 09:50:00,2021-03-01 14:52:00,-88.85823,36.942318,0 days 05:02:00,5.0333
1,Carlisle,KY-1820,SR 1820,1.0,3.0,Road closed due to flooding. Updates as available.,2021-03-01 09:51:00,2021-03-03 13:22:01,-88.88507,36.935156,2 days 03:31:01,51.5169
1,Carlisle,KY-1820,SR 1820,2.0,3.0,Road closed due to flooding. Updates as available.,2021-03-18 13:52:00,2021-03-24 18:08:01,-88.87822,36.937943,6 days 04:16:01,148.2669
1,Carlisle,KY-1820,SR 1820,5.0,6.0,Road closed due to flooding. Updates as available.,2021-03-01 09:50:00,2021-03-19 17:18:00,-88.830637,36.946063,18 days 07:28:00,439.4667
1,Carlisle,KY-1820,SR 1820,5.0,6.5,"WATER OVER THE ROAD, FLOODING",2021-03-19 13:19:00,2021-03-22 22:22:00,-88.826086,36.946143,3 days 09:03:00,81.05
1,Carlisle,KY-80,SR 80 W,2.8,2.8,Road closed due to flooding.,2021-01-25 15:19:00,2021-01-26 02:04:01,-89.015263,36.788629,0 days 10:45:01,10.7503
1,Carlisle,US-62,US 62,4.0,4.0,Road closed due to flooding.,2021-01-25 14:30:00,2021-01-26 13:46:00,-88.95131,36.899905,0 days 23:16:00,23.2667
1,Crittenden,KY-135,STATE ROUTE 135,4.2,4.2,Road closed due to flooding. Updates as available.,2021-03-08 15:35:00,2021-03-14 19:40:00,-88.281778,37.42663,6 days 04:05:00,148.0833
1,Crittenden,KY-855,KY-855 N,5.0,5.0,Roadway blocked due to flooding. Will update as available,2021-07-11 09:32:00,2021-07-12 14:54:13,-88.157955,37.239678,1 days 05:22:13,29.3703
1,Crittenden,KY-902,STATE ROUTE 902,5.0,5.0,Roadway blocked due to flooding. Will update as available,2021-07-11 09:33:00,2021-07-11 14:56:01,-88.099146,37.182167,0 days 05:23:01,5.3836
1,Crittenden,KY-91,STATE ROUTE 91 N,14.4,15.8,Ferry closed due to flooding. Updates as available,2021-03-06 11:56:00,2021-03-09 21:58:01,-88.16255,37.450301,3 days 10:02:01,82.0336
1,Crittenden,US-641,S MAIN ST,6.9,6.9,Road closed due to flooding.,2021-01-25 14:33:00,2021-01-26 13:46:00,-88.082208,37.32708,0 days 23:13:00,23.2167
1,Fulton,KY-1125,STATE ROUTE 1125 S,0.0,2.0,Road closed due to flooding.,2021-01-25 18:00:00,2021-01-26 13:46:00,-88.964416,36.53103,0 days 19:46:00,19.7667
1,Fulton,KY-1128,STATE ROUTE 1128,5.0,6.0,Road closed due to flooding.,2021-01-25 18:00:00,2021-01-26 13:46:00,-89.084321,36.532716,0 days 19:46:00,19.7667
1,Fulton,KY-1129,STATE ROUTE 1129,4.0,9.0,Road closed due to flooding. Updates as available.,2021-03-15 10:11:00,2021-03-16 18:26:01,-89.090876,36.590706,1 days 08:15:01,32.2503
1,Fulton,KY-1129,STATE ROUTE 1129,4.0,9.6,Roadway closed due to flooding. Updates as available.,2021-03-22 18:00:00,2021-03-26 20:58:00,-89.085641,36.59031,4 days 02:58:00,98.9667
1,Fulton,KY-1354,STATE ROUTE 1354,0.0,0.0,Roadway closed due to flooding. Updates as available,2021-03-05 10:37:00,2021-03-09 21:58:01,-89.21202,36.567767,4 days 11:21:01,107.3503
1,Fulton,KY-1706,STATE ROUTE 1706,0.0,2.1,Road closed due to flooding. Updates as available.,2021-05-04 15:48:00,2021-05-06 14:50:08,-88.94418,36.532537,1 days 23:02:08,47.0356
1,Fulton,KY-1907,STATE ROUTE 1907,0.0,3.0,Blocked due to flooding in the area.,2021-12-18 12:08:00,2021-12-18 17:12:01,-89.017188,36.575219,0 days 05:04:01,5.0669
1,Fulton,KY-1907,STATE ROUTE 1907,1.5,1.5,Blocked due to flooding in the area.,2021-04-30 09:20:00,2021-05-03 14:18:01,-89.017188,36.574943,3 days 04:58:01,76.9669
1,Fulton,KY-239,KY-239 S,0.0,3.6,Road closed due to flooding. Updates as available.,2021-05-04 15:46:00,2021-05-05 15:14:01,-89.036196,36.529881,0 days 23:28:01,23.4669
1,Fulton,KY-94,KY-94 W,7.0,11.0,Road closed due to flooding. Updates as available.,2021-04-29 15:41:00,2021-04-30 13:34:00,-89.249199,36.548059,0 days 21:53:00,21.8833
1,Fulton,KY-94,KY-94 W,7.0,11.0,Road closed due to flooding.,2021-08-09 08:32:00,2021-08-09 20:32:01,-89.249199,36.548059,0 days 12:00:01,12.0003
1,Fulton,KY-94,STATE ROUTE 94 E,23.0,26.0,Road closed due to flooding.,2021-01-25 14:34:00,2021-01-26 13:46:00,-88.989229,36.55379,0 days 23:12:00,23.2
1,Fulton,KY-94,STATE ROUTE 94 W,7.0,11.0,Road closed due to flooding.,2021-01-25 14:33:00,2021-01-26 19:10:01,-89.249199,36.548059,1 days 04:37:01,28.6169
1,Fulton,KY-94,STATE ROUTE 94 W,7.0,11.0,Road closed due to flooding. Updates as available.,2021-03-01 11:03:00,2021-03-02 18:14:12,-89.249199,36.548059,1 days 07:11:12,31.1867
1,Graves,KY-303,STATE ROUTE 303,1.0,2.0,Road closed due to flooding and a culvert washed out. Updates as available.,2021-03-01 11:04:00,2021-03-01 19:48:01,-88.647041,36.514834,0 days 08:44:01,8.7336
1,Graves,KY-339,STATE ROUTE 339 N,38.4,38.4,Road closed due to flooding.,2021-01-28 08:24:00,2021-01-29 21:58:00,-88.725511,36.946483,1 days 13:34:00,37.5667
1,Graves,KY-339,STATE ROUTE 339 N,38.4,38.4,Road closed due to flooding.,2021-01-26 14:11:00,2021-01-27 21:58:01,-88.725511,36.946497,1 days 07:47:01,31.7836
1,Graves,KY-58,STATE ROUTE 58,0.0,1.0,Road closed due to flooding.,2021-01-25 14:34:00,2021-01-26 20:04:01,-88.808311,36.656994,1 days 05:30:01,29.5003
1,Graves,US-45,US HIGHWAY 45 S,0.0,1.0,Road closed due to flooding.,2021-01-25 14:35:00,2021-01-26 02:04:01,-88.811137,36.565533,0 days 11:29:01,11.4836
1,Hickman,KY-123,KY-123 W,14.0,16.0,Road closed due to flooding. Updates as available.,2021-04-30 11:34:00,2021-05-06 13:22:01,-89.095343,36.669675,6 days 01:48:01,145.8003
1,Hickman,KY-123,KY-123 W,14.0,16.0,Blocked due to flooding in the area.,2021-07-04 11:06:00,2021-12-18 17:12:01,-89.095343,36.669675,167 days 06:06:01,4014.1003
