District,County,Route,Road_Name,Begin_MP,End_MP,Comments,Reported_On,End_Date,Route_Link
1,Ballard,KY-121,COURT ST,8.2,0.5,Roadway blocked due to flooding. Updates as available.,2025-04-05 22:07:07,2025-04-06 09:40:03,https://goky.ky.gov/?lat=36.963566&lng=-89.080596&zoom=14KY-121
1,Ballard,KY-121,COURT ST,8.2,0.5,,2025-04-05 22:07:07,2025-04-06 02:16:01,https://goky.ky.gov/?lat=36.963566&lng=-89.080596&zoom=14KY-121
1,Ballard,KY-310,TURNER LANDING RD,6.0,6.0,Roadway blocked due to flooding. Updates as available.,2023-07-19 17:58:02,2023-07-22 20:02:01,https://goky.ky.gov/?lat=37.131104&lng=-89.0201&zoom=14KY-310
1,Ballard,KY-310,TURNER LANDING RD,6.0,6.0,Road blocked due to flooding at this location.,2023-07-26 12:29:13,2023-07-26 15:10:01,https://goky.ky.gov/?lat=37.131104&lng=-89.0201&zoom=14KY-310
1,Ballard,KY-358,HINKLEVILLE RD,4.0,4.0,Roadway blocked due to flooding. Updates as available.,2023-07-19 18:00:48,2023-07-22 20:06:00,https://goky.ky.gov/?lat=37.046533&lng=-88.933658&zoom=14KY-358
1,Ballard,KY-358,HINKLEVILLE RD,4.0,4.0,Road blocked due to flooding at this location.,2023-07-26 12:31:11,2023-07-26 15:10:01,https://goky.ky.gov/?lat=37.046533&lng=-88.933658&zoom=14KY-358
1,Ballard,KY-473,GAGE RD,2.5,2.5,Roadway blocked due to flooding. Updates as available.,2023-07-19 17:59:39,2023-07-22 20:04:00,https://goky.ky.gov/?lat=37.020247&lng=-88.898133&zoom=14KY-473
1,Ballard,KY-473,GAGE RD,2.5,2.5,Road blocked due to flooding at this location.,2023-07-26 12:30:17,2023-07-26 15:10:01,https://goky.ky.gov/?lat=37.020247&lng=-88.898133&zoom=14KY-473
1,Ballard,KY-473,REFUGE RD,24.0,25.0,Roadway blocked due to flooding. Updates as available.,2023-03-05 01:02:34,2023-03-08 21:40:01,https://goky.ky.gov/?lat=37.156409&lng=-89.007214&zoom=14KY-473
1,Ballard,KY-802,LA CENTER RD,6.7,6.7,Roadway blocked due to flooding/emergency repairs. Updates as available.,2023-07-19 11:01:04,2023-07-22 20:00:01,https://goky.ky.gov/?lat=37.016686&lng=-88.955825&zoom=14KY-802
1,Ballard,KY-802,LA CENTER RD,6.7,6.7,Roadway blocked due to flooding/washed out culvert. Updates as available.,2023-07-19 11:01:04,2023-07-19 15:10:00,https://goky.ky.gov/?lat=37.016686&lng=-88.955825&zoom=14KY-802
1,Ballard,KY-802,LA CENTER RD,6.7,6.7,Road blocked due to flooding.,2023-07-26 12:27:25,2023-07-26 15:10:01,https://goky.ky.gov/?lat=37.016686&lng=-88.955825&zoom=14KY-802
1,Ballard,US-60,BARLOW RD,1.3,1.3,Roadway blocked due to flooding. Updates as available.,2025-02-16 20:43:43,2025-02-20 14:30:02,https://goky.ky.gov/?lat=36.98354&lng=-89.077246&zoom=14US-60
1,Ballard,US-62,CUNNINGHAM RD,0.1,1.0,Roadway blocked due to flooding. Updates as available.,2023-07-19 10:53:59,2023-07-20 09:38:01,https://goky.ky.gov/?lat=36.9532&lng=-88.827159&zoom=14US-62
1,Ballard,US-62,CUNNINGHAM RD,0.1,0.1,roadway blocked due to high water,2025-04-05 10:14:31,2025-04-05 22:28:01,https://goky.ky.gov/?lat=36.9532&lng=-88.827159&zoom=14US-62
1,Ballard,US-62,CUNNINGHAM RD,1.0,2.0,"single lane traffic with alternating flow controlled by flaggers. Expect delays.
",2023-03-03 08:32:16,2023-03-03 22:10:01,https://goky.ky.gov/?lat=36.965764&lng=-88.829484&zoom=14US-62
1,Ballard,US-62,CUNNINGHAM RD,1.0,2.0,Road blocked due to flooding. Seek alternate route.,2023-03-03 08:32:16,2023-03-03 10:26:01,https://goky.ky.gov/?lat=36.965764&lng=-88.829484&zoom=14US-62
1,Ballard,US-62,CUNNINGHAM RD,1.1,1.1,Roadway blocked due to flooding. Updates as available.,2025-02-16 21:58:20,2025-02-17 03:10:02,https://goky.ky.gov/?lat=36.967085&lng=-88.830159&zoom=14US-62
1,Ballard,US-62,CUNNINGHAM RD,1.3,1.3,Roadway blocked due to flooding. Updates as available.,2025-02-16 21:58:20,2025-02-17 10:00:01,https://goky.ky.gov/?lat=36.967085&lng=-88.830159&zoom=14US-62
1,Calloway,KY-121,KY-121 S,3.6,3.6,Roadway blocked due to flooding. Updates as available.,2025-02-16 01:33:47,2025-02-16 03:52:02,https://goky.ky.gov/?lat=36.535204&lng=-88.144464&zoom=14KY-121
1,Calloway,KY-121,KY-121 S,13.7,13.7,Roadway blocked due to flooding. Updates as available.,2023-07-19 12:45:27,2023-07-19 20:16:00,https://goky.ky.gov/?lat=36.591175&lng=-88.300492&zoom=14KY-121
