District,County,Route,Road_Name,Begin_MP,End_MP,Comments,Reported_On,End_Date,latitude,longitude,Duration_Default,Duration_Hours
1,Ballard,KY-1345,MYERS RD,2.0,2.0,KY 1345/Myers Road Blocked at 2mm in Ballard County Due to Cross Drain Failure,2021-07-28 00:05:00,2021-07-28 04:14:01,37.005148,-88.979133,0 days 04:09:01,4.1503
1,Ballard,KY-1345,MYERS RD,2.0,2.0,KY 1345/Myers Road Blocked both directions at 2mm in Ballard County Due to Cross Drain Failure,2021-07-28 00:05:00,2021-07-28 16:04:01,37.005148,-88.979133,0 days 15:59:01,15.9836
1,Calloway,KY-1536,OUTLAND SCHOOL RD,1.0,1.0,Blocked just north of the intersection with Clayton Rd/A B Lassiter Rd.,2021-12-06 13:00:00,2021-12-07 16:58:01,36.609757,-88.255129,1 days 03:58:01,27.9669
1,Calloway,KY-280,SPEAKER TRL,11.0,11.0,All lanes blocked in both directions due to break in pavement,2021-08-21 07:00:00,2021-08-26 20:58:02,36.569677,-88.171714,5 days 13:58:02,133.9672
1,Calloway,KY-280,SPEAKER TRL,11.0,11.0,ALL LANES BLOCKED IN BOTH DIRECTIONS,2021-08-21 07:00:00,2021-08-21 18:06:01,36.569677,-88.171714,0 days 11:06:01,11.1003
1,Calloway,KY-464,ALMO RD,12.7,13.7,Road closed due to flooding. Updates as available.,2021-03-01 14:29:00,2021-03-03 13:20:01,36.69177,-88.273738,1 days 22:51:01,46.8503
1,Calloway,KY-893,CHEROKEE TRL,8.0,8.0,Blocked just north of KY 550 (Wiswell Rd).,2021-12-06 13:00:00,2021-12-07 16:58:01,36.571804,-88.42906,1 days 03:58:01,27.9669
1,Calloway,US-641,U S HIGHWAY 641 N,10.6,10.6,Road closed due to flooding. Updates as available.,2021-03-01 10:16:00,2021-03-02 21:58:01,36.651783,-88.30691,1 days 11:42:01,35.7003
1,Calloway,US-641,U S HIGHWAY 641 N NC,10.6,10.6,Road closed due to flooding. Updates as available.,2021-03-01 10:17:00,2021-03-03 13:28:01,36.651801,-88.307124,2 days 03:11:01,51.1836
1,Carlisle,KY-1628,KY-1628,1.0,3.0,Blocked due to flooding in the area.,2021-05-04 08:52:00,2021-05-05 02:30:01,36.922194,-88.898473,0 days 17:38:01,17.6336
1,Carlisle,KY-1628,KY-1628,3.0,3.0,Road closed due to flooding. Updates as available.,2021-04-29 15:23:00,2021-04-30 20:04:01,36.921971,-88.882198,1 days 04:41:01,28.6836
1,Carlisle,KY-1820,KY-1820,1.0,3.0,Road closed due to flooding. Updates as available.,2021-04-29 11:33:00,2021-04-30 20:04:01,36.935156,-88.88507,1 days 08:31:01,32.5169
1,Carlisle,KY-1820,KY-1820,3.0,3.0,Blocked due to flooding in the area.,2021-05-04 08:52:00,2021-05-06 13:24:01,36.939579,-88.870791,2 days 04:32:01,52.5336
1,Carlisle,KY-1820,SR 1820,1.0,3.0,Road closed due to flooding.,2021-01-25 14:31:00,2021-01-26 14:02:01,36.935156,-88.88507,0 days 23:31:01,23.5169
1,Carlisle,KY-1820,SR 1820,1.0,6.5,Road closed due to flooding. Updates as available.,2021-03-01 09:50:00,2021-03-01 14:52:00,36.942318,-88.85823,0 days 05:02:00,5.0333
1,Carlisle,KY-1820,SR 1820,1.0,3.0,Road closed due to flooding. Updates as available.,2021-03-01 09:51:00,2021-03-03 13:22:01,36.935156,-88.88507,2 days 03:31:01,51.5169
1,Carlisle,KY-1820,SR 1820,2.0,3.0,Road closed due to flooding. Updates as available.,2021-03-18 13:52:00,2021-03-24 18:08:01,36.937943,-88.87822,6 days 04:16:01,148.2669
1,Carlisle,KY-1820,SR 1820,5.0,6.0,Road closed due to flooding. Updates as available.,2021-03-01 09:50:00,2021-03-19 17:18:00,36.946063,-88.830637,18 days 07:28:00,439.4667
1,Carlisle,KY-1820,SR 1820,5.0,6.5,"WATER OVER THE ROAD, FLOODING",2021-03-19 13:19:00,2021-03-22 22:22:00,36.946143,-88.826086,3 days 09:03:00,81.05
1,Carlisle,KY-80,SR 80 W,2.8,2.8,Road closed due to flooding.,2021-01-25 15:19:00,2021-01-26 02:04:01,36.788629,-89.015263,0 days 10:45:01,10.7503
1,Carlisle,US-62,US 62,4.0,4.0,Road closed due to flooding.,2021-01-25 14:30:00,2021-01-26 13:46:00,36.899905,-88.95131,0 days 23:16:00,23.2667
1,Crittenden,KY-135,STATE ROUTE 135,4.2,4.2,Road closed due to flooding. Updates as available.,2021-03-08 15:35:00,2021-03-14 19:40:00,37.42663,-88.281778,6 days 04:05:00,148.0833
1,Crittenden,KY-855,KY-855 N,5.0,5.0,Roadway blocked due to flooding. Will update as available,2021-07-11 09:32:00,2021-07-12 14:54:13,37.239678,-88.157955,1 days 05:22:13,29.3703
1,Crittenden,KY-902,STATE ROUTE 902,5.0,5.0,Roadway blocked due to flooding. Will update as available,2021-07-11 09:33:00,2021-07-11 14:56:01,37.182167,-88.099146,0 days 05:23:01,5.3836
1,Crittenden,KY-91,STATE ROUTE 91 N,14.4,15.8,Ferry closed due to flooding. Updates as available,2021-03-06 11:56:00,2021-03-09 21:58:01,37.450301,-88.16255,3 days 10:02:01,82.0336
1,Crittenden,US-641,S MAIN ST,6.9,6.9,Road closed due to flooding.,2021-01-25 14:33:00,2021-01-26 13:46:00,37.32708,-88.082208,0 days 23:13:00,23.2167
1,Fulton,KY-1125,STATE ROUTE 1125 S,0.0,2.0,Road closed due to flooding.,2021-01-25 18:00:00,2021-01-26 13:46:00,36.53103,-88.964416,0 days 19:46:00,19.7667
1,Fulton,KY-1128,STATE ROUTE 1128,5.0,6.0,Road closed due to flooding.,2021-01-25 18:00:00,2021-01-26 13:46:00,36.532716,-89.084321,0 days 19:46:00,19.7667
1,Fulton,KY-1129,STATE ROUTE 1129,4.0,9.0,Road closed due to flooding. Updates as available.,2021-03-15 10:11:00,2021-03-16 18:26:01,36.590706,-89.090876,1 days 08:15:01,32.2503
1,Fulton,KY-1129,STATE ROUTE 1129,4.0,9.6,Roadway closed due to flooding. Updates as available.,2021-03-22 18:00:00,2021-03-26 20:58:00,36.59031,-89.085641,4 days 02:58:00,98.9667
1,Fulton,KY-1354,STATE ROUTE 1354,0.0,0.0,Roadway closed due to flooding. Updates as available,2021-03-05 10:37:00,2021-03-09 21:58:01,36.567767,-89.21202,4 days 11:21:01,107.3503
1,Fulton,KY-1706,STATE ROUTE 1706,0.0,2.1,Road closed due to flooding. Updates as available.,2021-05-04 15:48:00,2021-05-06 14:50:08,36.532537,-88.94418,1 days 23:02:08,47.0356
