District,County,Route,Road_Name,Begin_MP,End_MP,Comments,Reported_On,End_Date,latitude,longitude,Duration_Default,Duration_Hours
1,Ballard,KY-310,TURNER LANDING RD,6.0,6.0,Roadway blocked due to flooding. Updates as available.,2023-07-19 17:58:02,2023-07-22 20:02:01,37.131104,-89.0201,3 days 02:03:59,74.0664
1,Ballard,KY-310,TURNER LANDING RD,6.0,6.0,Road blocked due to flooding at this location.,2023-07-26 12:29:13,2023-07-26 15:10:01,37.131104,-89.0201,0 days 02:40:48,2.68
1,Ballard,KY-358,HINKLEVILLE RD,4.0,4.0,Roadway blocked due to flooding. Updates as available.,2023-07-19 18:00:48,2023-07-22 20:06:00,37.046533,-88.933658,3 days 02:05:12,74.0867
1,Ballard,KY-358,HINKLEVILLE RD,4.0,4.0,Road blocked due to flooding at this location.,2023-07-26 12:31:11,2023-07-26 15:10:01,37.046533,-88.933658,0 days 02:38:50,2.6472
1,Ballard,KY-473,GAGE RD,2.5,2.5,Roadway blocked due to flooding. Updates as available.,2023-07-19 17:59:39,2023-07-22 20:04:00,37.020247,-88.898133,3 days 02:04:21,74.0725
1,Ballard,KY-473,GAGE RD,2.5,2.5,Road blocked due to flooding at this location.,2023-07-26 12:30:17,2023-07-26 15:10:01,37.020247,-88.898133,0 days 02:39:44,2.6622
1,Ballard,KY-473,REFUGE RD,24.0,25.0,Roadway blocked due to flooding. Updates as available.,2023-03-05 01:02:34,2023-03-08 21:40:01,37.156409,-89.007214,3 days 20:37:27,92.6242
1,Ballard,KY-802,LA CENTER RD,6.7,6.7,Roadway blocked due to flooding/emergency repairs. Updates as available.,2023-07-19 11:01:04,2023-07-22 20:00:01,37.016686,-88.955825,3 days 08:58:57,80.9825
1,Ballard,KY-802,LA CENTER RD,6.7,6.7,Roadway blocked due to flooding/washed out culvert. Updates as available.,2023-07-19 11:01:04,2023-07-19 15:10:00,37.016686,-88.955825,0 days 04:08:56,4.1489
1,Ballard,KY-802,LA CENTER RD,6.7,6.7,Road blocked due to flooding.,2023-07-26 12:27:25,2023-07-26 15:10:01,37.016686,-88.955825,0 days 02:42:36,2.71
1,Ballard,US-62,CUNNINGHAM RD,0.1,1.0,Roadway blocked due to flooding. Updates as available.,2023-07-19 10:53:59,2023-07-20 09:38:01,36.9532,-88.827159,0 days 22:44:02,22.7339
1,Ballard,US-62,CUNNINGHAM RD,1.0,2.0,single lane traffic with alternating flow controlled by flaggers. Expect delays. ,2023-03-03 08:32:16,2023-03-03 22:10:01,36.965764,-88.829484,0 days 13:37:45,13.6292
1,Ballard,US-62,CUNNINGHAM RD,1.0,2.0,Road blocked due to flooding. Seek alternate route.,2023-03-03 08:32:16,2023-03-03 10:26:01,36.965764,-88.829484,0 days 01:53:45,1.8958
1,Calloway,KY-121,KY-121 S,13.7,13.7,Roadway blocked due to flooding. Updates as available.,2023-07-19 12:45:27,2023-07-19 20:16:00,36.591175,-88.300492,0 days 07:30:33,7.5092
1,Calloway,KY-1270,EDGEHILL TRL,0.1,4.3,Both directions all lanes blocked due to flooding. Seek alternate route.,2023-07-19 12:46:43,2023-07-19 15:10:00,36.510346,-88.487221,0 days 02:23:17,2.3881
1,Calloway,KY-1270,EDGEHILL TRL,0.1,4.3,Roadway blocked due to flooding. Updates as available.,2023-07-19 12:46:43,2023-07-20 10:40:01,36.510346,-88.487221,0 days 21:53:18,21.8883
1,Calloway,KY-280,POTTERTOWN RD,7.2,7.8,Roadway blocked due to flooding. Updates as available.,2023-07-19 12:47:36,2023-07-19 12:52:01,36.602155,-88.141003,0 days 00:04:25,0.0736
1,Calloway,KY-280,POTTERTOWN RD,7.2,7.8,Roadway blocked due to downed trees and power lines. Updates as available.,2023-07-19 12:47:36,2023-07-19 20:16:00,36.602155,-88.141003,0 days 07:28:24,7.4733
1,Calloway,KY-783,CROSSLAND RD,4.0,4.0,,2023-01-03 07:31:05,2023-01-03 17:34:00,36.574914,-88.388492,0 days 10:02:55,10.0486
1,Calloway,KY-783,CROSSLAND RD,4.2,4.3,"Blocked due to flooding, find alternate route.",2023-01-04 13:27:30,2023-01-04 16:10:00,36.577804,-88.388444,0 days 02:42:30,2.7083
1,Carlisle,KY-121,KY-121 N,7.3,7.3,Roadway blocked due to flooding. Updates as available,2022-04-12 08:56:00,2022-04-12 10:04:00,36.907913,-88.917011,0 days 01:08:00,1.1333
1,Carlisle,KY-1628,KY-1628,2.0,2.0,Roadway Closed due to Flood damage,2022-04-26 08:11:00,2022-04-26 10:50:00,36.922194,-88.898473,0 days 02:39:00,2.65
1,Carlisle,KY-1628,KY-1628,2.0,2.0,Roadway blocked due to flood damage. Updates as available.,2022-04-26 08:11:00,2022-04-28 08:02:01,36.922194,-88.898473,1 days 23:51:01,47.8503
1,Carlisle,KY-1628,KY-1628,2.0,4.0,Rpadway blocked due to flooding. Updates as avaiable. ,2023-01-03 07:11:01,2023-01-04 10:04:01,36.922201,-88.898478,1 days 02:53:00,26.8833
1,Carlisle,KY-1628,KY-1628,2.0,4.0,Both directions all lanes blocked. Seek alternate route,2023-01-03 07:11:01,2023-01-03 16:48:01,36.922201,-88.898478,0 days 09:37:00,9.6167
1,Carlisle,KY-1628,KY-1628,3.0,4.0,Blocked due to flooding in the area.,2022-01-01 11:37:00,2022-02-18 17:38:00,36.921224,-88.871376,48 days 06:01:00,1158.0167
1,Carlisle,KY-1628,KY-1628,3.0,4.0,Roadway blocked due to flooding. Updates as available.,2022-01-09 08:27:00,2022-02-25 15:58:00,36.921224,-88.871376,47 days 07:31:00,1135.5167
1,Carlisle,KY-1628,KY-1628,3.0,4.0,Road is blocked due to flooding. Updates as available.,2022-01-09 08:27:00,2022-01-09 18:10:01,36.921224,-88.871376,0 days 09:43:01,9.7169
1,Carlisle,KY-1628,KY-1628,3.0,4.0,Road blocked due to flooding. Updates as available.,2022-02-18 07:09:00,2022-02-23 16:12:00,36.921224,-88.871376,5 days 09:03:00,129.05
1,Carlisle,KY-1628,KY-1628,3.0,3.0,Road blocked due to flooding at this location.,2023-03-25 09:21:07,2023-03-25 22:14:02,36.921871,-88.880394,0 days 12:52:55,12.8819
1,Carlisle,KY-1628,KY-1628,3.0,4.0,Roadway blocked due to flooding. Updates as available.,2023-07-19 18:09:48,2024-01-17 12:18:01,36.921871,-88.880394,181 days 18:08:13,4362.1369
1,Carlisle,KY-1628,KY-1628,3.0,4.0,"Roadway blocked due to flooding. Will remain closed through Thursday, July 27. ",2023-07-19 20:17:08,2023-07-22 20:08:00,36.921871,-88.880394,2 days 23:50:52,71.8478
1,Carlisle,KY-1628,KY-1628,3.0,4.0,Both directions all lanes blocked. Seek alternate route.,2023-08-05 10:52:22,2023-08-05 10:58:01,36.921871,-88.880394,0 days 00:05:39,0.0942
1,Carlisle,KY-1628,KY-1628,3.0,4.0,Roadway is blocked due to flooding. Updates as available.,2023-08-05 10:53:21,2023-08-05 16:06:01,36.921871,-88.880394,0 days 05:12:40,5.2111
1,Carlisle,KY-1628,KY-1628,3.0,4.0,Roadway is blocked due to water over the road signs are posted,2023-08-05 10:53:21,2023-08-05 15:04:00,36.921871,-88.880394,0 days 04:10:39,4.1775
1,Carlisle,KY-1628,KY-1628,3.0,4.0,Both directions all lanes blocked due to flooding. Seek alternate route.,2024-01-12 11:47:16,2024-01-12 16:10:01,36.921871,-88.880394,0 days 04:22:45,4.3792
1,Carlisle,KY-1820,KY-1820,1.0,3.0,Roadway blocked due to flooding. Updates as available.,2022-01-01 11:36:00,2022-02-25 15:58:00,36.935156,-88.88507,55 days 04:22:00,1324.3667
